FLLS,large_airport,Kenneth Kaunda International Airport,-15.330833,28.452722,AF,ZM
FMEE,large_airport,Roland Garros Airport,-20.8871,55.5103,AF,RE
FMMI,large_airport,Ivato Airport,-18.7969,47.478802,AF,MG
FNLU,large_airport,Quatro de Fevereiro International Airport,-8.85837,13.2312,AF,AO
FQMA,large_airport,Maputo Airport,-25.920799,32.572601,AF,MZ
FSIA,large_airport,Seychelles International Airport,-4.67434,55.521801,AF,SC
FTTJ,large_airport,N'Djamena International Airport,12.1337,15.034,AF,TD
FVHA,large_airport,Robert Gabriel Mugabe International Airport,-17.931801,31.0928,AF,ZW
FYWH,large_airport,Hosea Kutako International Airport,-22.4799,17.4709,AF,NA
FZAA,large_airport,Ndjili International Airport,-4.38575,15.4446,AF,CD
GABS,large_airport,Modibo Keita International Airport,12.5335,-7.94994,AF,ML
GBYD,large_airport,Banjul International Airport,13.338,-16.652201,AF,GM
GCFV,large_airport,Fuerteventura Airport,28.4527,-13.8638,EU,ES
GCLP,large_airport,Gran Canaria Airport,27.9319,-15.3866,EU,ES
GCRR,large_airport,Cesar Manrique-Lanzarote Airport,28.945499,-13.6052,EU,ES
GCTS,large_airport,Tenerife Sur Airport,28.0445,-16.5725,EU,ES
GFLL,large_airport,Lungi International Airport,8.61644,-13.1955,AF,SL
GLRB,large_airport,Roberts International Airport,6.23379,-10.3623,AF,LR
GMMN,large_airport,Mohammed V International Airport,33.36750031,-7.589970112,AF,MA
GOBD,large_airport,Blaise Diagne International Airport,14.67,-17.073333,AF,SN
GQNO,large_airport,Nouakchott-Oumtounsy International Airport,18.31,-15.9697222,AF,MR
GVAC,large_airport,Aml�lcar Cabral International Airport,16.7414,-22.9494,AF,CV
HAAB,large_airport,Addis Ababa Bole International Airport,8.97789,38.799301,AF,ET
HDAM,large_airport,Djibouti-Ambouli Airport,11.5473,43.1595,AF,DJ
HECA,large_airport,Cairo International Airport,30.12190056,31.40559959,AF,EG
HEGN,large_airport,Hurghada International Airport,27.180325,33.807292,AF,EG
HESH,large_airport,Sharm El Sheikh International Airport,27.977301,34.395,AS,EG
HJJJ,large_airport,Juba International Airport,4.87201,31.601101,AF,SS
HKJK,large_airport,Jomo Kenyatta International Airport,-1.319239974,36.92779922,AF,KE
HKMO,large_airport,Moi International Airport,-4.03483,39.5942,AF,KE
HLLT,large_airport,Tripoli International Airport,32.663502,13.159,AF,LY
HRYR,large_airport,Kigali International Airport,-1.96863,30.1395,AF,RW
HSSK,large_airport,Khartoum International Airport,15.5895,32.5532,AF,SD
HTDA,large_airport,Julius Nyerere International Airport,-6.87811,39.202599,AF,TZ
